"0.65","0.2","0.1","0.05","0.0","0.0","0.0","0.0","0.0","0.0"
"0.525","0.2","0.225","0.0","0.025","0.025","0.0","0.0","0.0","0.0"
"0.625","0.15","0.15","0.05","0.025","0.0","0.0","0.0","0.0","0.0"
"0.525","0.3","0.1","0.05","0.0","0.025","0.0","0.0","0.0","0.0"
"0.5","0.275","0.175","0.0","0.05","0.0","0.0","0.0","0.0","0.0"
"0.475","0.375","0.1","0.025","0.0","0.025","0.0","0.0","0.0","0.0"
"0.675","0.225","0.075","0.025","0.0","0.0","0.0","0.0","0.0","0.0"
"0.625","0.175","0.15","0.05","0.0","0.0","0.0","0.0","0.0","0.0"
"0.575","0.225","0.05","0.1","0.025","0.025","0.0","0.0","0.0","0.0"
"0.75","0.225","0.025","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.675","0.2","0.125","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.55","0.3","0.125","0.0","0.0","0.025","0.0","0.0","0.0","0.0"
"0.8","0.125","0.075","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.525","0.25","0.075","0.125","0.0","0.025","0.0","0.0","0.0","0.0"
"0.525","0.2","0.175","0.025","0.025","0.05","0.0","0.0","0.0","0.0"
"0.475","0.35","0.075","0.05","0.05","0.0","0.0","0.0","0.0","0.0"
"0.575","0.25","0.075","0.075","0.025","0.0","0.0","0.0","0.0","0.0"
"0.75","0.175","0.05","0.025","0.0","0.0","0.0","0.0","0.0","0.0"
"0.425","0.425","0.125","0.025","0.0","0.0","0.0","0.0","0.0","0.0"
"0.675","0.175","0.1","0.025","0.0","0.025","0.0","0.0","0.0","0.0"
"0.575","0.25","0.075","0.1","0.0","0.0","0.0","0.0","0.0","0.0"
"0.7","0.2","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"0.525","0.275","0.125","0.025","0.05","0.0","0.0","0.0","0.0","0.0"
"0.6","0.25","0.05","0.1","0.0","0.0","0.0","0.0","0.0","0.0"
"0.55","0.2","0.125","0.075","0.025","0.025","0.0","0.0","0.0","0.0"
"0.775","0.05","0.15","0.0","0.0","0.025","0.0","0.0","0.0","0.0"
"0.6","0.225","0.075","0.025","0.05","0.0","0.025","0.0","0.0","0.0"
